origin,treeID,distance,bearing,inclination
C,B01,0,0,0
B01,B02,5.47,178,-14
B01,B03,7.6,204,-14
B01,B08,7.53,254,-5
B01,B07,8.5,248,-5
B01,B06,10.4,250,-5
B06,B05,3.4,238,-10
B06,B04,2.8,202,-16
B06,B29,5.55,278,-13
B04,A13,14.6,252,-3
B04,B26,3.55,223,-7
B04,B27,3.5,274,5
B04,B28,4.88,270,4
B04,B32,4.75,237,-7
B04,B30,8.3,236,-8
B30,B40,3.85,20,9
B30,B39,1.8,150,-17
B30,B38,2.9,182,-20
B30,B37,4.65,234,-16
B30,B35,3.7,248,-8
B30,B36,5.04,274,0
B30,B34,4.7,296,5
B30,B33,3.6,308,6
B01,B45,12.2,220,-11
B01,B48,7.25,176,-16
B01,B46,7.85,186,-15
B01,B49,9.5,168,-16
B49,B47,2.5,264,-2
B49,B50,2.85,229,-11
B49,B52,4.23,242,-11
B49,B51,4.15,264,-8
B49,B53,3.55,182,-20
B45,B44,1.8,310,2
B45,B43,3,278,-1
B45,B42,4.3,232,-12
B45,B56,6.1,208,-22
B45,B41,5.35,244,-10
B45,B55,6.53,145,-21
B45,B62,9.22,156,-21
B45,B59,9.35,157,-24
B45,B25,12.4,168,-27
B25,B63,2.2,294,26
B25,B23,3.27,270,0
B25,B24,3.03,221,-14
B25,B22,3.72,219,-14
B25,B21,3.72,204,-21
B25,B20,4.4,180,-26
B25,B19,5.9,182,-26
